review,rating,date,bank,source,sentiment_label,sentiment_score,nouns,identified_theme,noun_text
🔥🔥🔥🔥🔥,5,2025-10-13,CBE,Google Play,NEUTRAL,0.0,['🔥'],Other,🔥
opne,5,2025-10-13,CBE,Google Play,NEUTRAL,0.0,['opne'],Other,opne
mehommd nuri,5,2025-10-13,CBE,Google Play,NEUTRAL,0.0,"['mehommd', 'nuri']",Other,mehommd nuri
Best,5,2025-10-12,CBE,Google Play,POSITIVE,1.0,[],Other,
providing very secure service.,5,2025-10-12,CBE,Google Play,POSITIVE,0.52,['service'],Customer Support,service
apk አሪፍ ነው ግን በጣም apkwun የሚከፍቱ የ ባንክ ሰራተኞች በጣም ደካማ ናቸው ሲያስተናግዱ ለ ደንበኛ ክብር የላቸውም እኔ መመላለስ ከጀመርኩ ቆየው ግን መፍትህ ላገኝ አልችልኩም ::,1,2025-10-12,CBE,Google Play,NEUTRAL,0.0,"['apk', 'አሪፍ', 'ነው', 'ግን', 'በጣም', 'apkwun', 'የሚከፍቱ', 'የ', 'ባንክ', 'ሰራተኞች', 'በጣም', 'ደካማ', 'ለ', 'ደንበኛ', 'ክብር', 'የላቸውም', 'እኔ', 'መመላለስ', 'ከጀመርኩ', 'ግን', 'ላገኝ', 'አልችልኩም']",Other,apk አሪፍ ነው ግን በጣም apkwun የሚከፍቱ የ ባንክ ሰራተኞች በጣም ደካማ ለ ደንበኛ ክብር የላቸውም እኔ መመላለስ ከጀመርኩ ግን ላገኝ አልችልኩም
ዳር ኑሮ ላለው ኣፍሪቻን ው,5,2025-10-12,CBE,Google Play,NEUTRAL,0.0,['ኑሮ'],Other,ኑሮ
RIYAD Mohammed Abaoli 92 527 2567,5,2025-10-12,CBE,Google Play,NEUTRAL,0.0,"['mohammed', 'abaoli']",Other,mohammed abaoli
it doesn't show bank statement and no options to see transactions for the past months.,2,2025-10-11,CBE,Google Play,NEGATIVE,-0.25,"['bank', 'statement', 'option', 'transaction', 'month']",Account & Transactions,bank statement option transaction month
Mamma Husen,2,2025-10-11,CBE,Google Play,NEUTRAL,0.0,"['mamma', 'husen']",Other,mamma husen
3 stars because I can't see all my transaction history apart from the recents and a refresh button has been removed from the Recents activity. The app should allow clients to view all of the transactions not just recents.,3,2025-10-11,CBE,Google Play,NEUTRAL,0.0,"['star', 'transaction', 'history', 'recent', 'button', 'recent', 'activity', 'app', 'client', 'transaction', 'recent']",Account & Transactions,star transaction history recent button recent activity app client transaction recent
exceptional application from others bank,5,2025-10-10,CBE,Google Play,POSITIVE,0.6666666666666666,"['application', 'other', 'bank']",User Interface & Experience,application other bank
"it is very nice. but i have a serious suggestion when you send to other cbe birr customer, it does not show the name of the recipient befor it actually send the money. please improve this",4,2025-10-10,CBE,Google Play,POSITIVE,0.08041666666666668,"['suggestion', 'cbe', 'birr', 'customer', 'name', 'recipient', 'befor', 'money']",Customer Support,suggestion cbe birr customer name recipient befor money
good👍👍👍😊😊😊,5,2025-10-10,CBE,Google Play,NEUTRAL,0.0,['👍'],Other,👍
really good app,5,2025-10-10,CBE,Google Play,POSITIVE,0.7,['app'],User Interface & Experience,app
smart bank CBE,5,2025-10-10,CBE,Google Play,POSITIVE,0.21428571428571427,"['bank', 'cbe']",Other,bank cbe
Ali urgesa11,3,2025-10-09,CBE,Google Play,NEUTRAL,0.0,['ali'],Other,ali
it's good,5,2025-10-09,CBE,Google Play,POSITIVE,0.7,[],Other,
Good apps,5,2025-10-09,CBE,Google Play,POSITIVE,0.7,['app'],User Interface & Experience,app
